how it appears in ARC file,id,first_name,last_name,link,company,start,end,,
Shōtei Hokuju 昇亭北寿,hokuju_shotei,昇亭 (Shōtei),北寿 (Hokuju),https://www.wikidata.org/wiki/Q11511908,,1789-01-01T00:00:00Z,1818-12-31T23:59:59Z,,
"北斎 | Hokusai, Katsushika Hokusai",hokusai_katsushika,葛飾 (Katsushika),北斎 (Hokusai),https://www.wikidata.org/wiki/Q5586,,1760-01-01T00:00:00Z,1849-12-31T23:59:59Z,,
百年 | Suzuki Hyakunen; 鈴木百年,hyakunen_suzuki,鈴木 (Suzuki),百年 (Hyakunen),https://www.wikidata.org/wiki/Q20040829,,1825-07-13T00:00:00Z,1891-12-26T00:00:00Z,,
一麿 | Gakutei Ichimaro; 岳亭一麿,ichimaro_gakutei,岳亭 (Gakutei),一麿 (Ichimaro),https://www.wikidata.org/wiki/Q24571594,,,,,
一景 Shōsai Ikkei,ikkei_shosai,昇斎 (Shōsai),一景 (Ikkei),https://www.wikidata.org/wiki/Q11511915,,1870-01-01T00:00:00Z,1874-12-31T23:59:59Z,,
十返舎一九 Jippensha Ikku,ikku_jippensha,十返舎 (Jippensha),一九 (Ikku),https://www.wikidata.org/wiki/Q260290,,1765-01-01T00:00:00Z,1831-12-31T00:00:00Z,,
幾英 | Kobayashi Ikuhide; 小林幾英,ikuhide_kobayashi,小林 (Kobayashi),幾英 (Ikuhide),https://www.wikidata.org/wiki/Q11461580,,,,,
伊藤若冲 Itō Jakuchū,jakuchu_ito,伊藤 (Itō),若冲 (Jakuchū),https://www.wikidata.org/wiki/Q1240575,,1716-01-01T00:00:00Z,1800-12-31T23:59:59Z,,
治兵衛 | Sugimura Jihei; 杉村治兵衛,jihei_sugimura,杉村 (Sugimura),治兵衛 (Jihei),https://www.wikidata.org/wiki/Q919724,,1681-01-01T00:00:00Z,1703-01-01T00:00:00Z,,
蔀関月 Shitomi Kangetsu,kangetsu_shitomi,蔀 (Shitomi),関月 (Kangetsu),https://www.wikidata.org/wiki/Q11621791,,1747-01-01T00:00:00Z,1797-12-31T23:59:59Z,,
石川哥山 Ishikawa Kazan,kazan_ishikawa,石川 (Ishikawa),哥山 (Kazan),https://www.wikidata.org/wiki/Q28069015,,1810-01-01T00:00:00Z,1823-12-31T23:59:59Z,,
年忠 | Yamada Keichū; 山田年忠,keichu_yamada,山田 (Yamada),年忠 (Keichū),https://www.wikidata.org/wiki/Q11470338,,1868-04-02T00:00:00Z,1934-01-21T00:00:00Z,,
慶賀 | Kawahara Keiga; 川原慶賀,keiga_kawahara,川原 (Kawahara),"聖戒 記, 円伊 画, 鈴木久治 [写]",https://www.wikidata.org/wiki/Q11477866,,1786-01-01T00:00:00Z,1860-01-01T00:00:00Z,,
蕙斎 | Kuwagata Keisai; 鍬形蕙斎,keisai_kuwagata,鍬形 (Kuwagata),蕙斎 (Keisai),https://www.wikidata.org/wiki/Q3197564,,1764-01-01T00:00:00Z,1824-04-21T00:00:00Z,,
鈴木其一 Suzuki Kiitsu,kiitsu_suzuki,鈴木 (Suzuki),其一 (Kiitsu),https://www.wikidata.org/wiki/Q3196514,,1796-01-01T00:00:00Z,1858-12-31T23:59:59Z,,
小林清親 Kobayashi Kiyochika ,kiyochika_kobayashi,小林 (Kobayashi),清親 (Kiyochika),https://www.wikidata.org/wiki/Q3121142,,1847-01-01T00:00:00Z,1915-12-31T23:59:59Z,,
鳥居清満 Torii Kiyomitsu,kiyomitsu_torii,鳥居 (Torii),清満 (Kiyomitsu),https://www.wikidata.org/wiki/Q3136173,,1735-01-01T00:00:00Z,1785-12-31T23:59:59Z,,
鳥居清長 Torii Kiyonaga,kiyonaga_torii,鳥居 (Torii),清長 (Kiyonaga),https://www.wikidata.org/wiki/Q427642,,1752-01-01T00:00:00Z,1815-12-31T23:59:59Z,,
鳥居清信 Torii Kiyonobu,kiyonobu_torii_1,鳥居 (Torii),清信 (Kiyonobu) 初代 (I),https://www.wikidata.org/wiki/Q3179022,,1664-01-01T00:00:00Z,1729-08_22T23:59:59Z,,
鳥居清信 Torii Kiyonobu II,kiyonobu_torii_2,鳥居 (Torii),清信 (Kiyonobu) 二代目 (II),https://www.wikidata.org/wiki/Q2444100,,1701-01-01T00:00:00Z,1752-12-31T23:59:59Z,,
