how it appears in ARC file,id,first_name,last_name,link,company,start,end,,
探景,tankei_inoue,井上 (Inoue),探景 (Tankei),https://www.wikidata.org/wiki/Q11372959,,1864-01-01T00:00:00Z,1889-09-14T00:00:00Z,,
梅川東挙 Umekawa Tokyo,tokyo_umekawa,梅川(Umekawa),東挙 (Tokyo),https://www.wikidata.org/wiki/Q22129837,,1828-01-01T00:00:00Z,1869-12-31T00:00:00Z,,
徳力富吉郎 Tomikichirō Tokuriki,tomikichiro_tokuriki,徳力 (Tokuriki),富吉郎 (Tomikichirō),https://www.wikidata.org/wiki/Q28354674,,1902-03-22T00:00:00Z,2000-07-01T00:00:00Z,,
歌川豊春 Utagawa Toyoharu,toyoharu_utagawa,歌川 (Utagawa),豊春 (Toyoharu),https://www.wikidata.org/wiki/Q3109421,,1735-01-01T00:00:00Z,1814-12-31T23:59:59Z,,
岡本豊彦 Okamoto Toyohiko  (古邨 | Koson),toyohiko_okamoto_koson,岡本 Okamoto,豊彦 Toyohiko (古邨 Koson),https://www.wikidata.org/wiki/Q11473226,,1773-08-25T00:00:00Z,1845-08-13T00:00:00Z,,
豊広 Utagawa Toyohiro,toyohiro_utagawa,歌川 (Utagawa),豊広 (Toyohiro),https://www.wikidata.org/wiki/Q2625013,,1769-01-01T00:00:00Z,1830-01-15T23:59:59Z,,
一陽斎豊国 Toyokuni Ichiyōsai (Toyokuni I),toyokuni_ichiyosai,一陽斎 (Ichiyōsai),豊国 (Toyokuni),https://www.wikidata.org/wiki/Q950316 ,,1769-01-01T00:00:00Z,1825-02-24T23:59:59Z,,
"豊国, Toyokuni I, 歌川豊国初代",toyokuni_utagawa_1,歌川 (Utagawa),豊国 (Toyokuni) 初代 (I),https://www.wikidata.org/wiki/Q950316 ,,1769-01-01T00:00:00Z,1825-12-31T23:59:59Z,,
歌川豊国 Utagawa Toyokuni II (Kunishige),toyokuni_utagawa_2,歌川 (Utagawa),豊国 (Toyokuni) 二代目 (II),https://www.wikidata.org/wiki/Q3074993,,1777-01-01T00:00:00Z,1835-12-31T23:59:59Z,,
豊国〈3〉 | Utagawa Toyokuni:3,toyokuni_utagawa_3,歌川 (Utagawa),豊国〈3〉(Toyokuni 3rd),https://www.wikidata.org/wiki/Q467427,,1777-01-01T00:00:00Z,1835-01-01T00:00:00Z,,
石川豊信 Toyonobu Ishikawa,toyonobu_ishikawa,石川 (Ishikawa),豊信 (Toyonobu),https://www.wikidata.org/wiki/Q3038261,,1711-01-01T00:00:00Z,1785-12-31T23:59:59Z,,
狩野博信  Kane Tsunenobu 狩野常信,tsunenobu_kano,狩野 (Kanō),常信 (Tsunenobu),https://www.wikidata.org/wiki/Q3192797,,1636-01-01T00:00:00Z,1713-12-31T23:59:59Z,,
喜多川歌麿 Kitagawa Utamaro,utamaro_kitagawa_1,喜多川 (Kitagawa),歌麿 (Utamaro),https://www.wikidata.org/wiki/Q272045,,1753-01-01T00:00:00Z,1806-12-31T23:59:59Z,,
歌麿〈2〉 | Kitagawa Utamaro:2,utamaro_kitagawa_2,喜多川 (Kitagawa),歌麿 (Utamaro) 二代目 (II),https://www.wikidata.org/wiki/Q11419133,,,1831-01-01T00:00:00Z,,
安治 | Inoue Yasuji; 井上安治,yasuji_inoue,井上 (Inoue),安治 (Yasuji),https://www.wikidata.org/wiki/Q11372959,,1864-01-01T00:00:00Z,1889-09-14T23:59:59Z,,
延一 | Yôsai,yosai_nobukazu,楊斎 (Nobukazu),延一 (Yōsai),https://www.wikidata.org/wiki/Q11541091,,1872-01-01T00:00:00Z,1944-01-01T00:00:00Z,,
芳藤 Utagawa Yoshifuji,yoshifuji_utagawa,歌川 (Utagawa),芳藤 (Yoshifuji),https://www.wikidata.org/wiki/Q11545194,,1828-01-01T00:00:00Z,1887-12-31T23:59:59Z,,
芳晴 | Utagawa Yoshiharu,yoshiharu_utagawa,歌川 (Utagawa),芳晴 (Yoshiharu),https://www.wikidata.org/wiki/Q11545183,,1828-01-01T00:00:00Z,1888-02-05T00:00:00Z,,
芳幾 | Ochiai Yoshiiku; 落合芳幾,yoshiiku_ochiai,落合 (Ochiai),芳幾 (Yoshiiku),https://www.wikidata.org/wiki/Q2482193,,1833-01-01T00:00:00Z,1904-01-01T00:00:00Z,,
"落合芳幾 Utagawa Yoshiiku, Ikujiro Ochiai",yoshiiku_utagawa,歌川 (Utagawa),芳幾 (Yoshiiku),https://www.wikidata.org/wiki/Q2482193,,1833-01-01T00:00:00Z,1904-12-31T23:59:59Z,,
歌川芳員 Utagawa Yoshikazu,yoshikazu_utagawa,歌川 (Utagawa),芳員 (Yoshikazu),https://www.wikidata.org/wiki/Q11545174,,1850-01-01T00:00:00Z,1870-12-31T23:59:59Z,,
寿好堂よし国 Jukōdō Yoshikuni ,yoshikuni_jukodo,吉邦 (Yoshikuni),寿好堂 (Jukōdō),https://www.wikidata.org/wiki/Q11458310,,1813-01-01T00:00:00Z,1832-12-31T23:59:59Z,,
芳盛 | Utagawa Yoshimori; 一光斎芳盛,yoshimori_utagawa,歌川 (Utagawa),芳盛 (Yoshimori),https://www.wikidata.org/wiki/Q11545189,,1830-01-01T00:00:00Z,1884-01-01T00:00:00Z,,
芳宗 | Utagawa Yoshimune; 一松斎芳宗,yoshimune_utagawa,歌川 (Utagawa),芳宗 (Yoshimune),https://www.wikidata.org/wiki/Q11545175,,1817-01-01T00:00:00Z,1880-04-17T00:00:00Z,,
笹木芳瀧 Sasaki Yoshitaki,yoshitaki_sasaki,笹木 (Sasaki),芳瀧 (Yoshitaki),https://www.wikidata.org/wiki/Q3552732,,1841-04-13T00:00:00Z,1899-06-28T23:59:59Z,,
歌川芳瀧 Utagawa Yoshitaki,yoshitaki_utagawa,歌川 (Utagawa),芳瀧 (Yoshitaki),https://www.wikidata.org/wiki/Q3552732,,1841-04-13T00:00:00Z,1899-06-28T23:59:59Z,,
芳富 | Utagawa Yoshitomi,yoshitomi_utagawa,歌川 (Utagawa),芳富 (Yoshitomi),https://www.wikidata.org/wiki/Q11545178,,1797-01-01T00:00:00Z,1861-01-01T00:00:00Z,,
芳虎 Utagawa Yoshitora,yoshitora_utagawa,歌川 (Utagawa),芳虎 (Yoshitora),https://www.wikidata.org/wiki/Q3075041,,1836-01-01T00:00:00Z,1880-12-31T23:59:59Z,,
芳鳥女 Utagawa Yoshitori-jo,yoshitori,歌川 (Utagawa),芳鳥女 (Yoshitori-jo),https://www.wikidata.org/wiki/Q11545200,,1839-01-01T00:00:00Z,,,
月岡芳年 Tsukioka Yoshitoshi,yoshitoshi_tsukioka,月岡 (Tsukioka),芳年 (Yoshitoshi),https://www.wikidata.org/wiki/Q467337,,1839-01-01T00:00:00Z,1892-12-31T23:59:59Z,,
歌川芳豊 Utagawa Yoshitoyo,yoshitoyo_utagawa,歌川 (Utagawa),芳豊 (Yoshitoyo),https://www.wikidata.org/wiki/Q11545195,,1830-01-01T00:00:00Z,1866-06-07T23:59:59Z,,
芳綱 | Utagawa Yoshitsuna,yoshitsuna_utagawa,歌川 (Utagawa),芳綱 (Yoshitsuna),https://www.wikidata.org/wiki/Q11545190,,,,,
芳艶 | Utagawa Yoshitsuya; 一英斎芳艶,yoshitsuya_utagawa,歌川 (Utagawa),芳艶 (Yoshitsuya),https://www.wikidata.org/wiki/Q3178301,,1822-02-22T00:00:00Z,1866-08-02T00:00:00Z,,
芳梅 Utagawa Yoshiume,yoshiume_utagawa,歌川 (Utagawa),芳梅 (Yoshiume),https://www.wikidata.org/wiki/Q11545186,,1819-01-01T00:00:00Z,1879-12-31T23:59:59Z,,
田中有美,yubi_tanaka,田中 (Tanaka),有美 (Yūbi),https://www.wikidata.org/wiki/Q18013218,,1840-01-01T00:00:00Z,1933-12-31T23:59:59,,
狩野博幸 Kiyohara Yukinobu 清原雪信,yukinobu_kano,狩野 (Kanō),行信 (Yukinobu),https://www.wikidata.org/wiki/Q11560527,,1644-01-01T00:00:00Z,1682-06-05T23:59:59Z,,
狩野祐清 Kano Yūsei,yusei_kano,狩野 (Kanō),祐清 (Yūsei),https://www.wikidata.org/wiki/Q28931,,1434-01-01T00:00:00Z,1530-08-02T23:59:59Z,,
永島春暁 Nagashima Shungyō ,shungyo_nagashima,永島 (Nagashima),春暁 (Shungyō),https://www.wikidata.org/wiki/Q11550045,,,,,
梅素亭玄魚,gengyo_baisotei,梅素亭 (Baisotei),玄魚 (Gengyo),https://www.wikidata.org/wiki/Q20042169,,1817-01-01T00:00:00Z,1880-12-31T23:59:59Z,,
,masakuni_jukakudo,寿鶴堂 (Jukakudo),政国 (Masakuni),https://www.wikidata.org/wiki/Q30938013,,1820-01-01T00:00:00Z,1825-12-31T23:59:59Z,,
,sadamasu_hasegawa,長谷川 (Hasegawa),貞升 (Sadamasu),,,1830-01-01T00:00:00Z,1840-12-31T23:59:59Z,,
,taito_katsushika_2,葛飾 (Katsushika),戴斗 (Taito) 二代目 (II),https://www.wikidata.org/wiki/Q11621075,,1810-01-01T00:00:00Z,1853-12-31T23:59:59Z,,
長谷川雪旦 | Hasegawa Settan,settan_hasegawa,長谷川 (Hasegawa),雪旦 (Settan),https://www.wikidata.org/wiki/Q3128079,,1778-01-01T00:00:00Z,1843-12-31T23:59:59Z,,
竹原春朝斎 | Takehara Shunchōsai; 信繁 (Nobushige),shunchosai_takehara,竹原 (Takehara),春朝斎 (Shunchōsai),https://www.wikidata.org/wiki/Q11599029,,,1801-12-31T23:59:59Z,,
竹原春泉斎 | Takehara Shunsensai; 春泉 (Shunsen) — fl. early–mid 19th c.,shunsensai_takehara,竹原 (Takehara),春泉斎 (Shunsensai),https://www.wikidata.org/wiki/Q11599030,,,,,
土佐光貞 | Tosa Mitsusada; 藤原光貞 (Fujiwara Mitsusada),mitsusada_tosa,土佐 (Tosa),光貞 (Mitsusada),https://www.wikidata.org/wiki/Q22291113,,1738-01-01T00:00:00Z,1806-12-31T23:59:59Z,,
河鍋暁斎 | Kawanabe Kyōsai (gō 周麿 Shūmaro / 暁斎),kyousai_kawanabe_1,河鍋 (Kawanabe),暁斎 (Kyōsai),,,1831-01-01T00:00:00Z,1889-12-31T23:59:59Z,,
歌川房種 | Utagawa Fusatane (fl. c.1854–1889),fusatane_utagawa_1,歌川 (Utagawa),房種 (Fusatane),,,,,,
尾形月耕 | Ogata Gekkō,gekkou_ogata_1,尾形 (Ogata),月耕 (Gekkō),,,1859-01-01T00:00:00Z,1920-12-31T23:59:59Z,,
中沢弘光 | Nakazawa Hiromitsu,hiromitsu_nakazawa_1,中沢 (Nakazawa),弘光 (Hiromitsu),,,1874-01-01T00:00:00Z,1964-12-31T23:59:59Z,,
小川一真 | Ogawa Kazumasa (photographer),kazumasa_ogawa_1,小川 (Ogawa),一真 (Kazumasa),,,1860-01-01T00:00:00Z,1929-12-31T23:59:59Z,,
織田一磨 | Oda Kazuma (print artist),kazuma_oda_1,織田 (Oda),一磨 (Kazuma),,,1882-01-01T00:00:00Z,1956-12-31T23:59:59Z,,
清水晴風 | Shimizu Seifū,seifuu_shimizu_1,清水 (Shimizu),晴風 (Seifū),,,1851-01-01T00:00:00Z,1913-12-31T23:59:59Z,,
瀬川光行 | Segawa Mitsuyuki,mitsuyuki_segawa_1,光行 (Mitsuyuki),瀬川 (Segawa),https://www.wikidata.org/wiki/Q108170620,,1868-09-24T00:00:00Z,1933-10-06T23:59:59Z,,
野口保興 | Noguchi Yasuoki (editor/geographer),yasuoki_noguchi_1,保興 (Yasuoki),野口 (Noguchi),https://www.wikidata.org/wiki/Q64952285,,1860-09-29T00:00:00Z,1943-12-31T23:59:59,,
大江八十一 | Ōe Yasoichi (photographer),yasoichi_ooe_1,大江 (Ōe),八十一 (Yasoichi),,,,,,
田山宗尭 | Tayama Munetaka (compiler),munetaka_tayama_1,宗尭 (Munetaka),田山 (Tayama),,,,,,
西田半三 | Nishida Hanzō (compiler),hanzou_nishida_1,半三 (Hanzō),西田 (Nishida),,,,,,
鉄道院 | Railway Bureau (organization),tetsudouin_1,,,,鉄道院 (Tetsudōin),1908-01-01T00:00:00Z,1920-12-31T23:59:59Z,,
"忠誠堂編輯部 | Chūseidō, editorial dept. (publisher)",chuuseidou_1,,,,忠誠堂 (Chūseidō),,,,
東光園編輯局 | Tōkōen Editorial Bureau (publisher),toukouen_henshukyoku_1,,,,東光園編輯局 (Tōkōen Editorial Bureau),,,,
一松斎芳秀 Ichimatsusai Hōshū,ichimatsusaihoushuu_1,一松斎 (Ichimatsusai),芳秀 (Hōshū),,,,,,
,hasui_kawase,川瀬 (Kawase),巴水 (Hasui),https://www.wikidata.org/wiki/Q344166,,1883-05-18T00:00:00Z,1957-11-07T23:59:59Z,,
